collector_name;collector_address;collector_number;collector_nik;collector_zip;collector_rt;collector_rw;collector_birth_place;collector_age;collector_marital_status;collector_gender;avg_bill_methods;debtor_volume_handled;bill_amount_collected;total_actual;total_cost;success_rate;time_to_collect
Brittany Norris;"Jl. W.R. Supratman No. 1
Semarang, DKI Jakarta 09585";+62-074-986-7113;4,09105E+15;9585;9;17;Aceh, 05-08-1987;36;Menikah;perempuan;panggilan;45;82000000;896500000;1108140;9;13
Leslie Solis;"Gang Pasteur No. 58
Balikpapan, JB 99008";+62 (433) 944 2840;5,77998E+15;99008;17;16;Sulawesi Tengah, 28-08-1982;41;Cerai hidup;perempuan;panggilan;30;300000000;343000000;771323;87;13
Jennifer Rogers;"Jl. Jamika No. 15
Tanjungpinang, Nusa Tenggara Barat 28562";+62-951-502-6017;2,59861E+15;28562;18;6;Riau, 22-02-2000;23;Cerai hidup;laki-laki;panggilan;32;70000000;172000000;805585;41;14
Pamela Carson;"Jl. HOS. Cokroaminoto No. 59
Cimahi, SR 73065";+62-0647-306-2280;4,83821E+15;73065;10;18;DI Yogyakarta, 15-08-1972;51;Menikah;laki-laki;panggilan;36;128000000;314000000;1346400;41;14
Jason Keith;"Jalan Indragiri No. 0
Bau-Bau, Jawa Barat 63486";+62-997-822-2816;7,41098E+15;63486;14;8;Jawa Timur, 06-07-1987;36;Cerai hidup;perempuan;panggilan;36;57000000;323000000;887894;18;12
Heather Kaufman;"Gg. Moch. Ramdan No. 3
Subulussalam, BT 19030";+62 (0063) 380 7400;2,79089E+15;19030;11;18;Lampung, 10-05-1990;33;Belum menikah;perempuan;panggilan;48;135000000;415000000;1558746;33;12
Richard Wade;"Jalan Kutisari Selatan No. 342
Surabaya, Riau 79297";+62-82-245-6744;1,21699E+15;79297;20;2;Nusa Tenggara Barat, 01-03-1972;51;Belum menikah;perempuan;panggilan;49;354000000;740500000;1157727;48;13
Ryan Tanner;"Jl. Suryakencana No. 8
Kota Administrasi Jakarta Pusat, Sumatera Barat 58994";+62 (0326) 961 5200;3,14014E+15;58994;11;1;Kalimantan Utara, 30-07-1995;28;Cerai hidup;laki-laki;panggilan;49;81000000;153500000;1031164;53;11
Dorothy Mejia;"Gg. Pasir Koja No. 3
Pasuruan, Kepulauan Riau 41146";+62-50-669-4849;7,48695E+15;41146;5;9;Bali, 24-12-1979;44;Cerai hidup;laki-laki;panggilan;44;203000000;474000000;1080503;43;13
Ashley Jackson;"Jalan Cikutra Timur No. 686
Yogyakarta, Jawa Timur 90365";+62-103-286-4101;6,91373E+15;90365;5;12;Nusa Tenggara Barat, 03-06-1967;56;Belum menikah;laki-laki;panggilan;43;96000000;439500000;947571;22;14
Ashley Hunt;"Gang H.J Maemunah No. 472
Banjarbaru, Maluku 22316";+62-40-790-9072;5,0627E+15;22316;17;2;Sulawesi Tengah, 24-08-1981;42;Belum menikah;laki-laki;panggilan;36;102000000;487000000;898139;21;11
Kelly Medina;"Jl. Soekarno Hatta No. 32
Kota Administrasi Jakarta Selatan, JT 50530";+62 (61) 087 4835;5,18111E+15;50530;10;15;Sulawesi Tenggara, 30-06-1981;42;Cerai mati;laki-laki;panggilan;30;240000000;458000000;859103;52;13
Bobby Williams;"Gang Jakarta No. 584
Banjar, PB 25440";+62 (009) 315-7877;2,42204E+15;25440;3;1;Sulawesi Barat, 01-08-1992;31;Cerai hidup;laki-laki;panggilan;38;209000000;248000000;1479449;84;13
Cindy Miranda;"Gang Cihampelas No. 275
Bitung, Papua Barat 70180";+62-0847-250-4555;4,86914E+15;70180;3;10;Sumatera Utara, 28-09-1961;62;Menikah;perempuan;panggilan;32;50000000;70000000;1035029;71;13
Christopher Garcia;"Gang Wonoayu No. 70
Malang, MA 93593";+62-489-479-9735;3,47495E+15;93593;7;3;Kalimantan Selatan, 13-11-1962;61;Cerai hidup;perempuan;panggilan;32;37000000;506000000;1269394;7;13
Monique Anderson;"Gang Pasirkoja No. 548
Kota Administrasi Jakarta Barat, NT 07115";+62-981-225-5352;1,64917E+15;7115;14;1;Papua, 18-01-1984;39;Cerai hidup;laki-laki;panggilan;40;167000000;277000000;1572376;60;13
Anna Collins;"Jalan Surapati No. 9
Salatiga, DI Yogyakarta 82703";+62-858-491-5983;8,41161E+15;82703;8;17;Kalimantan Utara, 23-01-1989;34;Menikah;laki-laki;panggilan;39;640000000;749500000;1460673;85;11
Cindy Grimes;"Jl. S. Parman No. 800
Samarinda, NT 07182";+62-365-632-1468;9,97581E+15;7182;14;13;Sulawesi Tengah, 05-07-1977;46;Cerai mati;laki-laki;panggilan;45;134000000;661500000;1745609;20;13
Eduardo Howell;"Gg. S. Parman No. 97
Pasuruan, SU 06243";+62-89-644-3723;6,60717E+15;6243;18;20;Jawa Barat, 07-06-1989;34;Cerai hidup;laki-laki;panggilan;34;206000000;556000000;931658;37;13
Kim Smith;"Gang Surapati No. 813
Meulaboh, Sulawesi Tenggara 42506";+62 (93) 538-6663;9,60504E+15;42506;14;17;Sulawesi Tenggara, 26-01-1961;62;Belum menikah;laki-laki;panggilan;37;243000000;379500000;770454;64;14
Cynthia Andrade;"Jalan Asia Afrika No. 370
Bandung, Kalimantan Timur 90096";+62 (004) 172 3849;2,69544E+15;90096;10;16;Nusa Tenggara Barat, 10-12-1979;44;Cerai hidup;laki-laki;panggilan;45;54000000;379500000;1246278;14;13
Jessica Solomon;"Jl. Kiaracondong No. 3
Yogyakarta, SU 03271";+62 (692) 473 1092;9,04121E+15;3271;15;13;DKI Jakarta, 19-12-1960;63;Cerai hidup;perempuan;panggilan;34;236000000;240000000;938886;98;12
Brandon Martinez;"Jalan Erlangga No. 9
Tebingtinggi, Jambi 83511";+62 (0456) 670 0973;5,59577E+15;83511;16;20;Jawa Tengah, 18-08-1987;36;Cerai mati;laki-laki;panggilan;38;217000000;450000000;1277841;48;11
Travis Hall;"Gg. Jakarta No. 07
Kendari, KU 64553";+62 (95) 153-6425;1,7207E+15;64553;19;1;Aceh, 28-01-1973;50;Menikah;laki-laki;panggilan;39;135000000;482500000;1506535;28;11
Mary Johnson;"Jalan Cihampelas No. 693
Batam, MA 95607";+62 (37) 884-2398;7,35203E+15;95607;10;5;Bengkulu, 21-02-1996;27;Cerai mati;laki-laki;panggilan;48;86000000;565000000;1202555;15;14
Jeffrey Gomez;"Gg. Gedebage Selatan No. 405
Kota Administrasi Jakarta Timur, Sulawesi Selatan 40151";+62 (197) 884 3655;6,66652E+15;40151;2;19;Jawa Tengah, 07-09-1963;60;Cerai hidup;perempuan;datang ke tempat;50;518000000;893500000;3040477;58;23
Brittany Washington;"Jl. S. Parman No. 990
Malang, SG 39453";+62 (05) 851-0251;9,87174E+15;39453;1;16;Sulawesi Utara, 11-07-1993;30;Cerai hidup;perempuan;datang ke tempat;50;158000000;1136500000;2495804;14;28
Jennifer Mullins;"Jl. Jend. Sudirman No. 15
Probolinggo, Bengkulu 39650";+62 (0305) 723-0368;5,95614E+15;39650;4;12;Kalimantan Barat, 05-03-1980;43;Belum menikah;perempuan;datang ke tempat;57;266000000;564000000;3177240;47;20
William Munoz;"Jl. Dipenogoro No. 988
Padangpanjang, GO 38399";+62 (028) 847-6905;4,12021E+15;38399;4;2;Sulawesi Utara, 17-02-1984;39;Cerai mati;laki-laki;datang ke tempat;40;134000000;191000000;1926995;70;20
Shannon Wright;"Gg. Rajiman No. 667
Solok, Nusa Tenggara Timur 87839";+62 (0478) 146-1792;7,20299E+15;87839;7;7;Kalimantan Selatan, 05-11-2000;23;Belum menikah;laki-laki;datang ke tempat;52;556000000;1082000000;3119238;51;18
Danielle Dyer PhD;"Gang Antapani Lama No. 90
Subulussalam, JB 80088";+62 (0550) 629-2975;5,69516E+15;80088;8;5;Sulawesi Tenggara, 15-03-1972;51;Belum menikah;laki-laki;datang ke tempat;43;464000000;495500000;2264030;94;27
Janice Evans;"Gg. Antapani Lama No. 65
Jayapura, Bengkulu 50834";+62-038-716-1301;1,83284E+15;50834;19;11;Riau, 15-03-1988;35;Belum menikah;perempuan;datang ke tempat;56;692000000;1205500000;2445634;57;22
William Brown;"Gg. Raya Ujungberung No. 9
Kendari, Sulawesi Utara 63083";+62 (56) 693 5476;6,18011E+15;63083;16;2;DI Yogyakarta, 05-11-1994;29;Belum menikah;perempuan;datang ke tempat;52;708000000;1151000000;2498246;62;18
Elizabeth Jackson;"Gg. M.T Haryono No. 601
Kendari, MU 91880";+62-79-810-3488;2,57311E+15;91880;9;13;Sulawesi Tenggara, 27-03-1961;62;Menikah;laki-laki;datang ke tempat;44;182000000;557500000;1902552;33;30
Joshua Cox;"Gang Bangka Raya No. 7
Manado, Nusa Tenggara Timur 33029";+62 (550) 750-1289;5,85681E+15;33029;2;8;Sulawesi Tenggara, 01-03-1983;40;Menikah;perempuan;datang ke tempat;46;524000000;1034000000;1978990;51;30
Laurie Vang;"Gg. Jayawijaya No. 23
Jayapura, Sumatera Selatan 79383";+62-962-882-5753;2,65854E+15;79383;15;14;Gorontalo, 26-02-1980;43;Menikah;laki-laki;datang ke tempat;55;730000000;864500000;2957591;84;29
Derek Sandoval;"Gg. S. Parman No. 467
Payakumbuh, BB 85138";+62-92-815-7871;6,08387E+15;85138;19;17;Sumatera Selatan, 05-10-1969;54;Menikah;laki-laki;datang ke tempat;54;332000000;1567500000;2250702;21;26
Anthony Conley;"Jl. Setiabudhi No. 61
Cilegon, Gorontalo 10381";+62-074-282-2273;4,89745E+15;10381;20;16;Aceh, 26-12-1989;34;Cerai mati;laki-laki;datang ke tempat;53;126000000;146500000;2143346;86;18
Dawn Rodriguez;"Gg. Otto Iskandardinata No. 69
Bogor, Jawa Timur 72008";+62 (088) 685 7667;7,81324E+15;72008;15;3;Kepulauan Riau, 21-04-1971;52;Menikah;laki-laki;datang ke tempat;42;526000000;580500000;2260665;91;23
Olivia Powell;"Jl. Tebet Barat Dalam No. 95
Bekasi, DI Yogyakarta 52355";+62-12-950-6361;1,03934E+15;52355;11;17;Kepulauan Riau, 21-08-1994;29;Menikah;laki-laki;datang ke tempat;40;110000000;147500000;2106439;75;30
Kevin Campbell;"Gang BKR No. 827
Bau-Bau, Kalimantan Timur 65040";+62 (881) 054-3416;7,52895E+15;65040;19;5;Kalimantan Selatan, 01-05-1998;25;Menikah;perempuan;datang ke tempat;47;576000000;1124500000;2511405;51;16
Stephen Clark;"Jl. Cempaka No. 47
Lubuklinggau, Sulawesi Utara 04945";+62 (727) 823-7037;4,72166E+15;4945;9;2;Bali, 01-04-1970;53;Cerai mati;perempuan;datang ke tempat;44;128000000;374500000;2149012;34;16
Meagan Harrison;"Gg. Gardujati No. 884
Parepare, Sulawesi Tengah 62879";+62 (66) 658-1870;4,82844E+15;62879;10;4;Sulawesi Utara, 11-08-1982;41;Cerai mati;laki-laki;datang ke tempat;40;94000000;135500000;2456428;69;17
Christian Lewis;"Gg. Pasirkoja No. 257
Subulussalam, Gorontalo 56696";+62 (0543) 098 7571;4,75642E+15;56696;12;5;Sumatera Selatan, 25-10-1963;60;Cerai hidup;laki-laki;datang ke tempat;54;816000000;930000000;2512880;88;17
Christopher Collins;"Jalan Kutai No. 73
Banjarmasin, Sulawesi Selatan 52630";+62 (0901) 544 2415;3,64081E+15;52630;14;9;Jawa Timur, 27-08-1968;55;Cerai hidup;laki-laki;datang ke tempat;51;238000000;598500000;2560374;40;22
Brandy Miller;"Jalan Veteran No. 2
Surakarta, Sulawesi Tengah 67448";+62-005-514-0999;3,46255E+15;67448;16;13;Nusa Tenggara Timur, 09-06-1984;39;Cerai mati;laki-laki;datang ke tempat;57;1712000000;1956000000;2920155;88;17
Jonathan Hendricks;"Jl. BKR No. 04
Tomohon, Sumatera Barat 90083";+62-083-876-6275;1,3778E+15;90083;20;19;Nusa Tenggara Barat, 14-05-1998;25;Cerai hidup;laki-laki;datang ke tempat;46;824000000;960500000;2815924;86;30
Danielle Salazar;"Jl. Moch. Ramdan No. 511
Prabumulih, KB 19575";+62-34-454-9094;3,96914E+15;19575;20;13;Gorontalo, 21-03-1974;49;Cerai hidup;laki-laki;datang ke tempat;45;1526000000;1567500000;2391925;97;25
Catherine Chan;"Gg. Jend. Sudirman No. 4
Padang, SN 50819";+62 (015) 691-9630;5,76612E+15;50819;14;11;Kalimantan Tengah, 27-10-1989;34;Cerai hidup;laki-laki;datang ke tempat;41;398000000;976000000;2145838;41;26
Alan Adams;"Gang R.E Martadinata No. 0
Medan, Gorontalo 72795";+62 (47) 656-9929;4,58691E+15;72795;14;14;Gorontalo, 19-05-1963;60;Menikah;perempuan;datang ke tempat;43;540000000;573500000;2529286;94;23
Lauren Allen;"Gg. Kutisari Selatan No. 661
Singkawang, Nusa Tenggara Timur 29885";+62-061-909-3706;4,93682E+15;29885;2;15;Jawa Timur, 12-04-1983;40;Cerai hidup;laki-laki;datang ke tempat;43;532000000;542000000;2084648;98;26
John Richardson;"Jl. Jakarta No. 8
Tebingtinggi, Maluku 26431";+62 (0412) 420-4949;3,56715E+15;26431;17;4;DKI Jakarta, 19-02-1989;34;Cerai mati;perempuan;datang ke tempat;41;596000000;910000000;2288236;65;22
Tracy Vazquez;"Jl. Dipenogoro No. 3
Sorong, Kalimantan Timur 54000";+62 (618) 273-1013;8,29688E+15;54000;6;18;Nusa Tenggara Barat, 21-01-1968;55;Cerai hidup;laki-laki;datang ke tempat;41;266000000;623500000;2408432;43;29
Nicole Lopez;"Jl. Veteran No. 118
Prabumulih, RI 96171";+62-475-485-3317;8,2023E+15;96171;15;4;Sulawesi Selatan, 07-03-1979;44;Belum menikah;perempuan;datang ke tempat;56;322000000;338500000;2462834;95;29
Kimberly Lopez;"Gg. Cempaka No. 17
Kendari, Jawa Timur 31929";+62 (009) 385 0619;8,68696E+15;31929;19;4;Sulawesi Selatan, 26-07-1961;62;Cerai mati;laki-laki;datang ke tempat;41;424000000;1280500000;2354630;33;24
John Dickerson Jr.;"Gang Antapani Lama No. 22
Surabaya, SB 34282";+62 (0756) 453-2856;3,84414E+15;34282;9;12;Gorontalo, 31-07-1974;49;Cerai mati;perempuan;datang ke tempat;44;262000000;286000000;1891161;92;23
Catherine James;"Jalan Suniaraja No. 5
Sibolga, MU 97811";+62 (0585) 424 3791;7,98E+15;97811;18;19;Papua, 31-08-1993;30;Belum menikah;laki-laki;datang ke tempat;54;1324000000;1767000000;2403792;75;27
Suzanne Vance;"Jalan Kapten Muslihat No. 129
Pasuruan, KT 98507";+62-0893-910-3440;9,26255E+15;98507;12;1;Bali, 03-12-1967;56;Cerai hidup;perempuan;datang ke tempat;57;1538000000;1644000000;2489441;94;26
Christopher Jackson;"Gg. Laswi No. 9
Tanjungpinang, Gorontalo 90003";+62-0667-735-3829;5,80077E+15;90003;10;10;Sulawesi Tengah, 12-09-1982;41;Belum menikah;perempuan;datang ke tempat;55;344000000;912500000;2428688;38;22
Gabriela Jones;"Jl. Waringin No. 681
Subulussalam, NB 01717";+62 (0691) 202-7302;7,57816E+15;1717;3;9;Kalimantan Selatan, 26-03-1975;48;Cerai mati;perempuan;datang ke tempat;52;456000000;747500000;2658149;61;30
Anthony Tanner;"Gg. Ahmad Dahlan No. 9
Jayapura, RI 70523";+62 (0904) 506 4127;9,26671E+15;70523;13;4;Riau, 23-03-1961;62;Cerai mati;laki-laki;datang ke tempat;44;106000000;256000000;2076322;41;16
Glenn Hernandez;"Gang Cempaka No. 74
Sorong, KT 47844";+62 (631) 490-3310;1,5759E+15;47844;3;11;Kalimantan Selatan, 23-03-1973;50;Menikah;laki-laki;datang ke tempat;57;1196000000;1200000000;2637901;100;26
Andrea Schmidt;"Gg. Pasteur No. 651
Kota Administrasi Jakarta Utara, SU 28942";+62 (91) 047 0453;8,2295E+15;28942;13;15;DI Yogyakarta, 18-05-1991;32;Menikah;laki-laki;datang ke tempat;56;462000000;1658500000;2939479;28;22
Cynthia Miller;"Gg. Jamika No. 4
Kendari, KB 48155";+62 (0036) 356 5133;5,93855E+15;48155;8;12;Kepulauan Bangka Belitung, 05-04-1974;49;Belum menikah;laki-laki;datang ke tempat;47;202000000;1223500000;2316616;17;16
Jamie Salazar;"Jl. Medokan Ayu No. 2
Pangkalpinang, Kepulauan Bangka Belitung 59630";+62 (24) 340-9712;8,35731E+15;59630;14;11;Kalimantan Selatan, 02-08-1975;48;Cerai hidup;perempuan;datang ke tempat;43;814000000;990500000;1857566;82;28
David Reed;"Gang Sadang Serang No. 752
Pematangsiantar, BB 42290";+62-018-282-4986;2,08229E+15;42290;3;6;Nusa Tenggara Barat, 23-06-1968;55;Cerai mati;perempuan;datang ke tempat;50;112000000;238000000;2427903;47;25
Diana Jones;"Jalan Monginsidi No. 3
Surakarta, Kalimantan Timur 36750";+62 (95) 654 6453;3,69833E+15;36750;2;17;Aceh, 27-01-1969;54;Cerai mati;perempuan;datang ke tempat;42;140000000;447000000;1869610;31;19
Kyle Arnold;"Gg. Merdeka No. 57
Tegal, Sulawesi Tengah 19555";+62 (084) 421 1534;7,10462E+15;19555;17;15;Riau, 14-04-1964;59;Cerai mati;laki-laki;datang ke tempat;42;218000000;585000000;2383306;37;21
Samuel Stein;"Jl. Surapati No. 95
Tual, BE 99024";+62-064-925-8099;8,38523E+15;99024;9;18;Papua, 28-03-1976;47;Menikah;perempuan;datang ke tempat;59;708000000;1778500000;2737615;40;28
Elizabeth Clayton;"Gg. Dr. Djunjunan No. 62
Pontianak, Kalimantan Selatan 93269";+62 (0397) 345-8447;5,77239E+15;93269;20;4;Kalimantan Utara, 04-03-1968;55;Menikah;laki-laki;datang ke tempat;41;430000000;1102000000;2022716;39;29
Christine Simmons;"Jalan Gardujati No. 3
Banjarmasin, DI Yogyakarta 36618";+62-009-964-0205;4,16926E+15;36618;1;13;Kepulauan Bangka Belitung, 02-10-1961;62;Menikah;laki-laki;datang ke tempat;50;444000000;470500000;2446344;94;29
Traci Robbins;"Gang Gardujati No. 3
Pekanbaru, RI 03307";+62-0893-044-1280;7,43487E+15;3307;9;10;Kepulauan Bangka Belitung, 01-10-1967;56;Belum menikah;perempuan;datang ke tempat;51;202000000;1083000000;2823140;19;26
Don Graham;"Gang Pasirkoja No. 9
Padangpanjang, Sulawesi Barat 93399";+62 (490) 538 3177;3,70065E+15;93399;11;4;Nusa Tenggara Timur, 23-04-1980;43;Cerai hidup;laki-laki;datang ke tempat;52;1778000000;1802000000;2446168;99;19
Kristina Anderson;"Jl. Jend. Sudirman No. 28
Pontianak, RI 43909";+62 (789) 603 9011;8,99429E+15;43909;8;4;Kalimantan Barat, 18-08-1975;48;Menikah;laki-laki;datang ke tempat;52;768000000;831500000;3169776;92;21
Andrew Warren;"Jl. Jayawijaya No. 994
Parepare, Kalimantan Tengah 43331";+62 (068) 649-8796;4,04452E+15;43331;12;6;Nusa Tenggara Barat, 22-07-1985;38;Belum menikah;perempuan;datang ke tempat;46;772000000;1037000000;2769236;74;26
Leslie Daniels;"Gg. Cikapayang No. 4
Surabaya, KU 82390";+62 (0422) 465-4916;7,50347E+15;82390;7;12;Kalimantan Utara, 22-08-1984;39;Cerai mati;perempuan;datang ke tempat;54;540000000;1261500000;2218397;43;23
Richard Dickson;"Gg. Gardujati No. 2
Mojokerto, Papua Barat 66613";+62-089-855-7664;6,61673E+15;66613;20;20;Maluku, 13-08-1969;54;Cerai hidup;perempuan;datang ke tempat;55;496000000;563000000;3003820;88;18
Ashley Johnson;"Jl. Yos Sudarso No. 075
Bima, ST 83657";+62-68-049-3507;6,17258E+15;83657;11;8;Lampung, 22-10-1974;49;Belum menikah;perempuan;datang ke tempat;40;716000000;977000000;2275400;73;20
Daniel Rubio;"Jalan Gedebage Selatan No. 67
Ternate, DI Yogyakarta 18950";+62 (046) 734 9141;4,53504E+15;18950;7;13;Sulawesi Utara, 17-08-1967;56;Cerai hidup;perempuan;datang ke tempat;48;144000000;279000000;2349893;52;28
Kayla Eaton;"Gang Jakarta No. 2
Pekalongan, JT 28161";+62-20-922-4294;4,61312E+15;28161;12;16;Maluku, 13-10-1992;31;Menikah;perempuan;datang ke tempat;57;912000000;1252500000;3142329;73;27
Melissa Floyd;"Jalan Erlangga No. 41
Padangpanjang, KU 47324";+62 (0322) 455-5746;5,70932E+15;47324;3;11;Gorontalo, 12-02-1986;37;Cerai mati;perempuan;datang ke tempat;59;128000000;221500000;3326603;58;19
Bruce Barnes;"Jalan Pasteur No. 266
Probolinggo, BB 29565";+62 (015) 363 6557;6,03044E+15;29565;5;5;Banten, 24-11-1969;54;Belum menikah;perempuan;datang ke tempat;42;806000000;882000000;2137572;91;28
Katherine Collins;"Jl. Rajawali Barat No. 4
Pekanbaru, MU 76740";+62 (180) 179-3536;4,32175E+15;76740;20;3;Aceh, 21-03-1961;62;Cerai mati;perempuan;datang ke tempat;43;116000000;116000000;2392017;100;19
Shannon Frost;"Jl. Rajiman No. 116
Blitar, SU 18143";+62 (325) 341 6731;5,77666E+15;18143;19;6;Kepulauan Bangka Belitung, 16-08-1963;60;Belum menikah;laki-laki;datang ke tempat;51;420000000;1429500000;2854112;29;28
Monica Williams;"Jl. Gedebage Selatan No. 4
Batam, GO 87112";+62 (0615) 104 7131;6,46713E+15;87112;2;4;Kalimantan Barat, 10-03-1967;56;Cerai mati;perempuan;datang ke tempat;40;208000000;1034000000;1654938;20;28
Anthony Bell;"Gang PHH. Mustofa No. 491
Singkawang, Maluku 06928";+62-0881-593-4695;5,70606E+15;6928;1;4;Lampung, 17-08-1993;30;Cerai hidup;laki-laki;datang ke tempat;41;424000000;928000000;1731146;46;17
Robert Frank;"Gg. Cempaka No. 33
Denpasar, Sulawesi Selatan 58354";+62-00-282-4997;1,56164E+15;58354;14;11;Riau, 24-07-1968;55;Cerai mati;laki-laki;datang ke tempat;41;276000000;400000000;2268138;69;21
Shannon Cook;"Gang Pasteur No. 877
Samarinda, DKI Jakarta 29577";+62-0675-629-9295;9,87886E+15;29577;14;7;Aceh, 11-09-1980;43;Cerai mati;laki-laki;datang ke tempat;45;108000000;199500000;2211383;54;16
Louis Chang;"Gang Monginsidi No. 4
Madiun, DKI Jakarta 19162";+62 (72) 398 0796;8,94742E+15;19162;10;18;DI Yogyakarta, 08-10-1968;55;Belum menikah;laki-laki;datang ke tempat;48;562000000;637500000;1932231;88;17
Amanda Stewart;"Jl. Joyoboyo No. 865
Palu, KT 60523";+62 (054) 947-7485;6,44454E+15;60523;4;8;Jambi, 11-04-1961;62;Belum menikah;laki-laki;datang ke tempat;58;828000000;1613000000;2745395;51;22
Perry Villarreal;"Jalan Dr. Djunjunan No. 0
Depok, SU 24003";+62 (083) 079 3985;4,89469E+15;24003;16;2;Kalimantan Utara, 24-06-1980;43;Belum menikah;perempuan;datang ke tempat;56;1236000000;1600000000;2625752;77;16
Michelle Davis;"Jl. Wonoayu No. 505
Medan, DKI Jakarta 25490";+62 (64) 589 2357;1,26725E+15;25490;6;2;Jambi, 22-07-1984;39;Cerai hidup;perempuan;datang ke tempat;46;768000000;1076000000;2033967;71;28
Tiffany Carter;"Gang Soekarno Hatta No. 235
Tual, Sulawesi Barat 61950";+62-14-765-8207;9,13442E+15;61950;6;8;Sulawesi Utara, 11-02-1971;52;Belum menikah;laki-laki;datang ke tempat;54;1386000000;1707000000;3175863;81;22
Dr. Eric Hayden MD;"Gang Erlangga No. 9
Gorontalo, Sumatera Barat 91233";+62-249-474-5895;8,9038E+15;91233;2;4;Nusa Tenggara Barat, 14-05-1983;40;Menikah;perempuan;datang ke tempat;57;312000000;556500000;3024508;56;23
Ryan West;"Gg. Cikutra Timur No. 882
Tangerang, SU 73374";+62-22-167-8663;2,59487E+15;73374;3;12;Papua, 20-08-1975;48;Cerai mati;laki-laki;datang ke tempat;56;138000000;181000000;2899928;76;24
Daniel Keith;"Gg. Sukajadi No. 3
Tanjungbalai, Jawa Barat 43992";+62 (47) 208 9097;3,28911E+15;43992;16;14;Papua, 03-05-1987;36;Menikah;laki-laki;datang ke tempat;51;1446000000;1581000000;3036228;91;27
Jason Robinson;"Jl. Kutisari Selatan No. 028
Mojokerto, PA 14806";+62 (046) 389 1483;5,21512E+15;14806;17;13;Jambi, 06-02-1979;44;Cerai hidup;laki-laki;datang ke tempat;51;232000000;1428000000;2709543;16;27
Annette Hill;"Jl. Cikapayang No. 02
Bandung, AC 38705";+62-0140-711-0555;4,30244E+15;38705;4;14;Jawa Barat, 04-04-1984;39;Menikah;perempuan;datang ke tempat;45;90000000;108000000;2608572;83;24
Kristen Barker;"Jl. Jend. A. Yani No. 5
Depok, DKI Jakarta 31619";+62 (81) 585 2728;9,43253E+15;31619;1;5;Maluku Utara, 19-08-1979;44;Cerai mati;laki-laki;datang ke tempat;45;610000000;702000000;2339521;87;29
Gregory Green;"Gg. HOS. Cokroaminoto No. 6
Sukabumi, PB 10500";+62 (033) 267 4375;7,6359E+15;10500;4;16;DKI Jakarta, 27-08-1984;39;Belum menikah;laki-laki;datang ke tempat;40;830000000;840500000;2094916;99;23
Kaylee Miller;"Gg. Monginsidi No. 911
Pekanbaru, KB 41891";+62 (76) 742-9379;5,79348E+15;41891;11;5;Gorontalo, 25-02-1971;52;Cerai mati;laki-laki;datang ke tempat;43;1064000000;1101500000;2545504;97;16
Zachary Curtis;"Jl. Erlangga No. 627
Sorong, Sumatera Barat 10197";+62-084-411-8789;7,98256E+15;10197;3;8;Gorontalo, 24-04-1974;49;Cerai mati;perempuan;datang ke tempat;52;1090000000;1143500000;2264850;95;18
Alexander Rogers;"Jl. Kapten Muslihat No. 146
Samarinda, DI Yogyakarta 67027";+62 (911) 686-7059;1,09163E+15;67027;2;18;Nusa Tenggara Barat, 17-08-1964;59;Menikah;laki-laki;datang ke tempat;54;688000000;838500000;2667923;82;16
Natalie Sexton;"Gang Rawamangun No. 2
Subulussalam, ST 17180";+62 (042) 293-5011;1,05236E+15;17180;3;1;Jawa Timur, 16-10-1991;32;Menikah;perempuan;datang ke tempat;59;440000000;467500000;2925541;94;23
Jeffrey Morton;"Jl. Laswi No. 501
Gorontalo, DI Yogyakarta 20175";+62 (535) 235-3850;2,0317E+15;20175;3;10;Jawa Tengah, 10-06-1962;61;Menikah;laki-laki;datang ke tempat;58;162000000;642500000;3480533;25;20
Jane Anderson;"Gg. Ir. H. Djuanda No. 54
Prabumulih, JB 84781";+62-76-832-3932;2,33783E+15;84781;18;13;Sulawesi Barat, 04-02-1993;30;Menikah;laki-laki;datang ke tempat;59;658000000;986500000;2936389;67;30
Kevin Armstrong;"Jl. Pacuan Kuda No. 3
Cimahi, Sulawesi Tenggara 99932";+62 (834) 531 7092;6,78985E+15;99932;20;20;Maluku Utara, 09-07-1995;28;Belum menikah;laki-laki;datang ke tempat;47;184000000;485500000;2802913;38;17
Jennifer Flores;"Gang Gedebage Selatan No. 75
Madiun, SU 36761";+62 (488) 226-2702;7,02043E+15;36761;19;9;Jambi, 27-02-1969;54;Cerai mati;perempuan;datang ke tempat;45;232000000;574500000;2696113;40;19
John Lopez;"Jl. H.J Maemunah No. 75
Denpasar, MA 00837";+62 (83) 812-6036;4,43821E+15;837;18;9;Kalimantan Tengah, 02-06-1961;62;Cerai mati;laki-laki;datang ke tempat;45;736000000;1566000000;2012861;47;28
Nicole Russell;"Jl. Asia Afrika No. 82
Sungai Penuh, MA 71965";+62 (0624) 934 4388;6,24603E+15;71965;14;19;Kalimantan Selatan, 21-11-1987;36;Cerai mati;perempuan;datang ke tempat;45;96000000;105000000;2265468;91;20
Victoria Hardy;"Jl. Gardujati No. 187
Bau-Bau, Jambi 30323";+62 (48) 922 2098;5,35882E+15;30323;14;8;Lampung, 09-02-1999;24;Menikah;laki-laki;datang ke tempat;59;1164000000;1241500000;2476587;94;19
