collector_name,collector_address,collector_number,collector_nik,collector_zip,collector_rt,collector_rw,collector_birth_place,collector_age,collector_marital_status,collector_gender,collector_location,collector_vehicle,collector_id,collector_location_coord,workload_score
Kimberly Jones,"Gang Sukajadi No. 105
Jambi, Jawa Tengah 13297",+62-011-145-1897,4347278990487246,13297,2,13,"Sulawesi Tenggara, 26-08-1976",47,Belum menikah,perempuan,Medan,Punya,C0774,3.5896654:98.6738261,452.5963926265249
Jason Lewis,"Gang Merdeka No. 8
Palembang, Riau 08036",+62-002-299-6813,1925131959185199,8036,7,5,"Aceh, 02-07-1973",50,Menikah,perempuan,Tangerang,Punya,C0775,-6.1761924:106.6382161,551.9303358741454
Brittany Norris,"Jl. W.R. Supratman No. 1
Semarang, DKI Jakarta 09585",+62-074-986-7113,4091050094644108,9585,9,17,"Aceh, 05-08-1987",36,Menikah,perempuan,Surabaya,Punya,C0776,-7.2459717:112.7378266,292.1490682120493
Leslie Solis,"Gang Pasteur No. 58
Balikpapan, JB 99008",+62 (433) 944 2840,5779981871392242,99008,17,16,"Sulawesi Tengah, 28-08-1982",41,Cerai hidup,perempuan,Malang,Punya,C0777,-7.9771206:112.6340291,537.2485949565016
Jennifer Rogers,"Jl. Jamika No. 15
Tanjungpinang, Nusa Tenggara Barat 28562",+62-951-502-6017,2598610962052433,28562,18,6,"Riau, 22-02-2000",23,Cerai hidup,laki-laki,Yogyakarta,Punya,C0778,-7.9778383999999996:110.36722565020224,417.2337901302381
Pamela Carson,"Jl. HOS. Cokroaminoto No. 59
Cimahi, SR 73065",+62-0647-306-2280,4838211144696659,73065,10,18,"DI Yogyakarta, 15-08-1972",51,Menikah,laki-laki,Malang,Punya,C0779,-7.9771206:112.6340291,253.72233855110244
Jason Keith,"Jalan Indragiri No. 0
Bau-Bau, Jawa Barat 63486",+62-997-822-2816,7410984691112912,63486,14,8,"Jawa Timur, 06-07-1987",36,Cerai hidup,perempuan,Malang,Punya,C0780,-7.9771206:112.6340291,365.21201010333607
Heather Kaufman,"Gg. Moch. Ramdan No. 3
Subulussalam, BT 19030",+62 (0063) 380 7400,2790886756241735,19030,11,18,"Lampung, 10-05-1990",33,Belum menikah,perempuan,Depok,Tidak Punya,C0781,-6.40719:106.8158371,295.6073721239518
Richard Wade,"Jalan Kutisari Selatan No. 342
Surabaya, Riau 79297",+62-82-245-6744,1216986938171478,79297,20,2,"Nusa Tenggara Barat, 01-03-1972",51,Belum menikah,perempuan,Palembang,Punya,C0782,-2.9888243:104.7568507,633.6055524531112
Ryan Tanner,"Jl. Suryakencana No. 8
Kota Administrasi Jakarta Pusat, Sumatera Barat 58994",+62 (0326) 961 5200,3140143261350241,58994,11,1,"Kalimantan Utara, 30-07-1995",28,Cerai hidup,laki-laki,Balikpapan,Punya,C0783,-1.2398711:116.8593379,373.691258590261
Dorothy Mejia,"Gg. Pasir Koja No. 3
Pasuruan, Kepulauan Riau 41146",+62-50-669-4849,7486953651133196,41146,5,9,"Bali, 24-12-1979",44,Cerai hidup,laki-laki,Mataram,Punya,C0784,-8.5837726:116.10685,175.30984947195975
Ashley Jackson,"Jalan Cikutra Timur No. 686
Yogyakarta, Jawa Timur 90365",+62-103-286-4101,6913730762521459,90365,5,12,"Nusa Tenggara Barat, 03-06-1967",56,Belum menikah,laki-laki,Medan,Punya,C0785,3.5896654:98.6738261,488.4284799644083
Ashley Hunt,"Gang H.J Maemunah No. 472
Banjarbaru, Maluku 22316",+62-40-790-9072,5062696555518894,22316,17,2,"Sulawesi Tengah, 24-08-1981",42,Belum menikah,laki-laki,Palembang,Punya,C0786,-2.9888243:104.7568507,470.8510602303432
Kelly Medina,"Jl. Soekarno Hatta No. 32
Kota Administrasi Jakarta Selatan, JT 50530",+62 (61) 087 4835,5181111269746786,50530,10,15,"Sulawesi Tenggara, 30-06-1981",42,Cerai mati,laki-laki,Tangerang,Punya,C0787,-6.1761924:106.6382161,297.2580899009481
Bobby Williams,"Gang Jakarta No. 584
Banjar, PB 25440",+62 (009) 315-7877,2422035278658554,25440,3,1,"Sulawesi Barat, 01-08-1992",31,Cerai hidup,laki-laki,Bogor,Tidak Punya,C0788,-6.5962986:106.7972421,193.2682074126205
Cindy Miranda,"Gang Cihampelas No. 275
Bitung, Papua Barat 70180",+62-0847-250-4555,4869142539631807,70180,3,10,"Sumatera Utara, 28-09-1961",62,Menikah,perempuan,Surabaya,Punya,C0789,-7.2459717:112.7378266,783.0936014810286
Christopher Garcia,"Gang Wonoayu No. 70
Malang, MA 93593",+62-489-479-9735,3474949895768594,93593,7,3,"Kalimantan Selatan, 13-11-1962",61,Cerai hidup,perempuan,Makassar,Punya,C0790,-5.1342962:119.4124282,256.77801347125205
Monique Anderson,"Gang Pasirkoja No. 548
Kota Administrasi Jakarta Barat, NT 07115",+62-981-225-5352,1649169936131914,7115,14,1,"Papua, 18-01-1984",39,Cerai hidup,laki-laki,Tangerang,Punya,C0791,-6.1761924:106.6382161,300.56612886078074
Anna Collins,"Jalan Surapati No. 9
Salatiga, DI Yogyakarta 82703",+62-858-491-5983,8411608220742243,82703,8,17,"Kalimantan Utara, 23-01-1989",34,Menikah,laki-laki,Mataram,Punya,C0792,-8.5837726:116.10685,396.650976664765
Cindy Grimes,"Jl. S. Parman No. 800
Samarinda, NT 07182",+62-365-632-1468,9975811110258469,7182,14,13,"Sulawesi Tengah, 05-07-1977",46,Cerai mati,laki-laki,Samarinda,Punya,C0793,-0.5017804:117.1393089,184.395385618438
Eduardo Howell,"Gg. S. Parman No. 97
Pasuruan, SU 06243",+62-89-644-3723,6607173045008484,6243,18,20,"Jawa Barat, 07-06-1989",34,Cerai hidup,laki-laki,Bogor,Punya,C0794,-6.5962986:106.7972421,479.3061661870743
Kim Smith,"Gang Surapati No. 813
Meulaboh, Sulawesi Tenggara 42506",+62 (93) 538-6663,9605038825730773,42506,14,17,"Sulawesi Tenggara, 26-01-1961",62,Belum menikah,laki-laki,Jakarta,Punya,C0795,-6.175247:106.8270488,586.8985828061705
Cynthia Andrade,"Jalan Asia Afrika No. 370
Bandung, Kalimantan Timur 90096",+62 (004) 172 3849,2695438547312664,90096,10,16,"Nusa Tenggara Barat, 10-12-1979",44,Cerai hidup,laki-laki,Palembang,Tidak Punya,C0796,-2.9888243:104.7568507,673.5627387042914
Jessica Solomon,"Jl. Kiaracondong No. 3
Yogyakarta, SU 03271",+62 (692) 473 1092,9041206306221487,3271,15,13,"DKI Jakarta, 19-12-1960",63,Cerai hidup,perempuan,Batam,Punya,C0797,1.1030815:104.0383696,526.0883909100085
Brandon Martinez,"Jalan Erlangga No. 9
Tebingtinggi, Jambi 83511",+62 (0456) 670 0973,5595765402335300,83511,16,20,"Jawa Tengah, 18-08-1987",36,Cerai mati,laki-laki,Depok,Punya,C0798,-6.40719:106.8158371,556.0906167478242
Travis Hall,"Gg. Jakarta No. 07
Kendari, KU 64553",+62 (95) 153-6425,1720696576783827,64553,19,1,"Aceh, 28-01-1973",50,Menikah,laki-laki,Yogyakarta,Punya,C0799,-7.9778383999999996:110.36722565020224,429.8894437930139
Mary Johnson,"Jalan Cihampelas No. 693
Batam, MA 95607",+62 (37) 884-2398,7352032926004094,95607,10,5,"Bengkulu, 21-02-1996",27,Cerai mati,laki-laki,Makassar,Tidak Punya,C0800,-5.1342962:119.4124282,770.8320038513921
Jeffrey Gomez,"Gg. Gedebage Selatan No. 405
Kota Administrasi Jakarta Timur, Sulawesi Selatan 40151",+62 (197) 884 3655,6666520073340755,40151,2,19,"Jawa Tengah, 07-09-1963",60,Cerai hidup,perempuan,Bekasi,Punya,C0801,-6.2349858:106.9945444,470.9375078859739
Brittany Washington,"Jl. S. Parman No. 990
Malang, SG 39453",+62 (05) 851-0251,9871740069283481,39453,1,16,"Sulawesi Utara, 11-07-1993",30,Cerai hidup,perempuan,Yogyakarta,Punya,C0802,-7.9778383999999996:110.36722565020224,570.0925895620312
Jennifer Mullins,"Jl. Jend. Sudirman No. 15
Probolinggo, Bengkulu 39650",+62 (0305) 723-0368,5956136887321445,39650,4,12,"Kalimantan Barat, 05-03-1980",43,Belum menikah,perempuan,Mataram,Punya,C0803,-8.5837726:116.10685,578.6352963518584
William Munoz,"Jl. Dipenogoro No. 988
Padangpanjang, GO 38399",+62 (028) 847-6905,4120205674549260,38399,4,2,"Sulawesi Utara, 17-02-1984",39,Cerai mati,laki-laki,Balikpapan,Tidak Punya,C0804,-1.2398711:116.8593379,243.44459541639665
Shannon Wright,"Gg. Rajiman No. 667
Solok, Nusa Tenggara Timur 87839",+62 (0478) 146-1792,7202991789998203,87839,7,7,"Kalimantan Selatan, 05-11-2000",23,Belum menikah,laki-laki,Balikpapan,Punya,C0805,-1.2398711:116.8593379,356.9739137426368
Danielle Dyer PhD,"Gang Antapani Lama No. 90
Subulussalam, JB 80088",+62 (0550) 629-2975,5695161312743998,80088,8,5,"Sulawesi Tenggara, 15-03-1972",51,Belum menikah,laki-laki,Samarinda,Punya,C0806,-0.5017804:117.1393089,630.3620327578974
Janice Evans,"Gg. Antapani Lama No. 65
Jayapura, Bengkulu 50834",+62-038-716-1301,1832837547425030,50834,19,11,"Riau, 15-03-1988",35,Belum menikah,perempuan,Jakarta,Punya,C0807,-6.175247:106.8270488,149.01813984158798
William Brown,"Gg. Raya Ujungberung No. 9
Kendari, Sulawesi Utara 63083",+62 (56) 693 5476,6180111170310174,63083,16,2,"DI Yogyakarta, 05-11-1994",29,Belum menikah,perempuan,Tangerang,Punya,C0808,-6.1761924:106.6382161,628.5903413150518
Elizabeth Jackson,"Gg. M.T Haryono No. 601
Kendari, MU 91880",+62-79-810-3488,2573112550205166,91880,9,13,"Sulawesi Tenggara, 27-03-1961",62,Menikah,laki-laki,Semarang,Punya,C0809,-6.9903988:110.4229104,840.3240451436141
Joshua Cox,"Gang Bangka Raya No. 7
Manado, Nusa Tenggara Timur 33029",+62 (550) 750-1289,5856808830162737,33029,2,8,"Sulawesi Tenggara, 01-03-1983",40,Menikah,perempuan,Bogor,Punya,C0810,-6.5962986:106.7972421,233.55210954492213
Laurie Vang,"Gg. Jayawijaya No. 23
Jayapura, Sumatera Selatan 79383",+62-962-882-5753,2658543643864925,79383,15,14,"Gorontalo, 26-02-1980",43,Menikah,laki-laki,Bandung,Punya,C0811,-6.9215529:107.6110212,654.6995890716207
Derek Sandoval,"Gg. S. Parman No. 467
Payakumbuh, BB 85138",+62-92-815-7871,6083873041187733,85138,19,17,"Sumatera Selatan, 05-10-1969",54,Menikah,laki-laki,Malang,Punya,C0812,-7.9771206:112.6340291,381.8365777658182
Anthony Conley,"Jl. Setiabudhi No. 61
Cilegon, Gorontalo 10381",+62-074-282-2273,4897452350163423,10381,20,16,"Aceh, 26-12-1989",34,Cerai mati,laki-laki,Bogor,Punya,C0813,-6.5962986:106.7972421,440.6997382930713
Dawn Rodriguez,"Gg. Otto Iskandardinata No. 69
Bogor, Jawa Timur 72008",+62 (088) 685 7667,7813240852665694,72008,15,3,"Kepulauan Riau, 21-04-1971",52,Menikah,laki-laki,Bandung,Punya,C0814,-6.9215529:107.6110212,258.7884882828803
Olivia Powell,"Jl. Tebet Barat Dalam No. 95
Bekasi, DI Yogyakarta 52355",+62-12-950-6361,1039335323815832,52355,11,17,"Kepulauan Riau, 21-08-1994",29,Menikah,laki-laki,Tangerang,Punya,C0815,-6.1761924:106.6382161,681.9300621132716
Kevin Campbell,"Gang BKR No. 827
Bau-Bau, Kalimantan Timur 65040",+62 (881) 054-3416,7528954987609841,65040,19,5,"Kalimantan Selatan, 01-05-1998",25,Menikah,perempuan,Pontianak,Punya,C0816,-0.0226903:109.3447488,174.90005285292864
Stephen Clark,"Jl. Cempaka No. 47
Lubuklinggau, Sulawesi Utara 04945",+62 (727) 823-7037,4721662549533510,4945,9,2,"Bali, 01-04-1970",53,Cerai mati,perempuan,Balikpapan,Punya,C0817,-1.2398711:116.8593379,489.2761513502919
Meagan Harrison,"Gg. Gardujati No. 884
Parepare, Sulawesi Tengah 62879",+62 (66) 658-1870,4828441022949904,62879,10,4,"Sulawesi Utara, 11-08-1982",41,Cerai mati,laki-laki,Semarang,Punya,C0818,-6.9903988:110.4229104,360.6618955461017
Christian Lewis,"Gg. Pasirkoja No. 257
Subulussalam, Gorontalo 56696",+62 (0543) 098 7571,4756416108993009,56696,12,5,"Sumatera Selatan, 25-10-1963",60,Cerai hidup,laki-laki,Palembang,Punya,C0819,-2.9888243:104.7568507,687.2006463899743
Christopher Collins,"Jalan Kutai No. 73
Banjarmasin, Sulawesi Selatan 52630",+62 (0901) 544 2415,3640805690293070,52630,14,9,"Jawa Timur, 27-08-1968",55,Cerai hidup,laki-laki,Mataram,Punya,C0820,-8.5837726:116.10685,445.3960243263864
Brandy Miller,"Jalan Veteran No. 2
Surakarta, Sulawesi Tengah 67448",+62-005-514-0999,3462553800782477,67448,16,13,"Nusa Tenggara Timur, 09-06-1984",39,Cerai mati,laki-laki,Makassar,Punya,C0821,-5.1342962:119.4124282,165.31657083661412
Jonathan Hendricks,"Jl. BKR No. 04
Tomohon, Sumatera Barat 90083",+62-083-876-6275,1377799147233323,90083,20,19,"Nusa Tenggara Barat, 14-05-1998",25,Cerai hidup,laki-laki,Tangerang,Punya,C0822,-6.1761924:106.6382161,576.500098479446
Danielle Salazar,"Jl. Moch. Ramdan No. 511
Prabumulih, KB 19575",+62-34-454-9094,3969139290420815,19575,20,13,"Gorontalo, 21-03-1974",49,Cerai hidup,laki-laki,Balikpapan,Punya,C0823,-1.2398711:116.8593379,629.7330888193101
Catherine Chan,"Gg. Jend. Sudirman No. 4
Padang, SN 50819",+62 (015) 691-9630,5766115674597923,50819,14,11,"Kalimantan Tengah, 27-10-1989",34,Cerai hidup,laki-laki,Makassar,Punya,C0824,-5.1342962:119.4124282,744.216520255839
Alan Adams,"Gang R.E Martadinata No. 0
Medan, Gorontalo 72795",+62 (47) 656-9929,4586909835525647,72795,14,14,"Gorontalo, 19-05-1963",60,Menikah,perempuan,Medan,Punya,C0825,3.5896654:98.6738261,449.6198869711661
Lauren Allen,"Gg. Kutisari Selatan No. 661
Singkawang, Nusa Tenggara Timur 29885",+62-061-909-3706,4936815220651656,29885,2,15,"Jawa Timur, 12-04-1983",40,Cerai hidup,laki-laki,Yogyakarta,Punya,C0826,-7.9778383999999996:110.36722565020224,515.464543066395
John Richardson,"Jl. Jakarta No. 8
Tebingtinggi, Maluku 26431",+62 (0412) 420-4949,3567153866666025,26431,17,4,"DKI Jakarta, 19-02-1989",34,Cerai mati,perempuan,Tangerang,Punya,C0827,-6.1761924:106.6382161,663.5722187997308
Tracy Vazquez,"Jl. Dipenogoro No. 3
Sorong, Kalimantan Timur 54000",+62 (618) 273-1013,8296880063363958,54000,6,18,"Nusa Tenggara Barat, 21-01-1968",55,Cerai hidup,laki-laki,Yogyakarta,Punya,C0828,-7.9778383999999996:110.36722565020224,471.5923175883945
Nicole Lopez,"Jl. Veteran No. 118
Prabumulih, RI 96171",+62-475-485-3317,8202303427894291,96171,15,4,"Sulawesi Selatan, 07-03-1979",44,Belum menikah,perempuan,Depok,Tidak Punya,C0829,-6.40719:106.8158371,683.9589850269258
Kimberly Lopez,"Gg. Cempaka No. 17
Kendari, Jawa Timur 31929",+62 (009) 385 0619,8686960362090597,31929,19,4,"Sulawesi Selatan, 26-07-1961",62,Cerai mati,laki-laki,Bekasi,Punya,C0830,-6.2349858:106.9945444,967.4289779048704
John Dickerson Jr.,"Gang Antapani Lama No. 22
Surabaya, SB 34282",+62 (0756) 453-2856,3844144142185315,34282,9,12,"Gorontalo, 31-07-1974",49,Cerai mati,perempuan,Mataram,Punya,C0831,-8.5837726:116.10685,473.53689784996095
Catherine James,"Jalan Suniaraja No. 5
Sibolga, MU 97811",+62 (0585) 424 3791,7979995923452507,97811,18,19,"Papua, 31-08-1993",30,Belum menikah,laki-laki,Palembang,Punya,C0832,-2.9888243:104.7568507,430.0478598837799
Suzanne Vance,"Jalan Kapten Muslihat No. 129
Pasuruan, KT 98507",+62-0893-910-3440,9262545127177937,98507,12,1,"Bali, 03-12-1967",56,Cerai hidup,perempuan,Depok,Punya,C0833,-6.40719:106.8158371,569.4679471488053
Christopher Jackson,"Gg. Laswi No. 9
Tanjungpinang, Gorontalo 90003",+62-0667-735-3829,5800774825158332,90003,10,10,"Sulawesi Tengah, 12-09-1982",41,Belum menikah,perempuan,Palembang,Punya,C0834,-2.9888243:104.7568507,521.7761790650256
Gabriela Jones,"Jl. Waringin No. 681
Subulussalam, NB 01717",+62 (0691) 202-7302,7578161455162920,1717,3,9,"Kalimantan Selatan, 26-03-1975",48,Cerai mati,perempuan,Jakarta,Punya,C0835,-6.175247:106.8270488,355.5856186147721
Anthony Tanner,"Gg. Ahmad Dahlan No. 9
Jayapura, RI 70523",+62 (0904) 506 4127,9266707275920591,70523,13,4,"Riau, 23-03-1961",62,Cerai mati,laki-laki,Medan,Punya,C0836,3.5896654:98.6738261,371.01452702796087
Glenn Hernandez,"Gang Cempaka No. 74
Sorong, KT 47844",+62 (631) 490-3310,1575899344447531,47844,3,11,"Kalimantan Selatan, 23-03-1973",50,Menikah,laki-laki,Yogyakarta,Punya,C0837,-7.9778383999999996:110.36722565020224,267.25108598850784
Andrea Schmidt,"Gg. Pasteur No. 651
Kota Administrasi Jakarta Utara, SU 28942",+62 (91) 047 0453,8229497148057250,28942,13,15,"DI Yogyakarta, 18-05-1991",32,Menikah,laki-laki,Semarang,Punya,C0838,-6.9903988:110.4229104,706.7850760750007
Cynthia Miller,"Gg. Jamika No. 4
Kendari, KB 48155",+62 (0036) 356 5133,5938548183113606,48155,8,12,"Kepulauan Bangka Belitung, 05-04-1974",49,Belum menikah,laki-laki,Jakarta,Punya,C0839,-6.175247:106.8270488,490.2742380538839
Jamie Salazar,"Jl. Medokan Ayu No. 2
Pangkalpinang, Kepulauan Bangka Belitung 59630",+62 (24) 340-9712,8357305946999733,59630,14,11,"Kalimantan Selatan, 02-08-1975",48,Cerai hidup,perempuan,Medan,Punya,C0840,3.5896654:98.6738261,601.7891304409131
David Reed,"Gang Sadang Serang No. 752
Pematangsiantar, BB 42290",+62-018-282-4986,2082287990985604,42290,3,6,"Nusa Tenggara Barat, 23-06-1968",55,Cerai mati,perempuan,Bogor,Punya,C0841,-6.5962986:106.7972421,629.6834518321266
Diana Jones,"Jalan Monginsidi No. 3
Surakarta, Kalimantan Timur 36750",+62 (95) 654 6453,3698333884262291,36750,2,17,"Aceh, 27-01-1969",54,Cerai mati,perempuan,Bogor,Tidak Punya,C0842,-6.5962986:106.7972421,524.0505198898609
Kyle Arnold,"Gg. Merdeka No. 57
Tegal, Sulawesi Tengah 19555",+62 (084) 421 1534,7104620516561694,19555,17,15,"Riau, 14-04-1964",59,Cerai mati,laki-laki,Yogyakarta,Punya,C0843,-7.9778383999999996:110.36722565020224,384.29201815789565
Samuel Stein,"Jl. Surapati No. 95
Tual, BE 99024",+62-064-925-8099,8385227551202604,99024,9,18,"Papua, 28-03-1976",47,Menikah,perempuan,Palembang,Punya,C0844,-2.9888243:104.7568507,598.4395254128613
Elizabeth Clayton,"Gg. Dr. Djunjunan No. 62
Pontianak, Kalimantan Selatan 93269",+62 (0397) 345-8447,5772391325119444,93269,20,4,"Kalimantan Utara, 04-03-1968",55,Menikah,laki-laki,Tangerang,Punya,C0845,-6.1761924:106.6382161,632.6415189885884
Christine Simmons,"Jalan Gardujati No. 3
Banjarmasin, DI Yogyakarta 36618",+62-009-964-0205,4169262660306047,36618,1,13,"Kepulauan Bangka Belitung, 02-10-1961",62,Menikah,laki-laki,Depok,Punya,C0846,-6.40719:106.8158371,356.25498965074075
Traci Robbins,"Gang Gardujati No. 3
Pekanbaru, RI 03307",+62-0893-044-1280,7434865063265478,3307,9,10,"Kepulauan Bangka Belitung, 01-10-1967",56,Belum menikah,perempuan,Bekasi,Punya,C0847,-6.2349858:106.9945444,658.0023811822466
Don Graham,"Gang Pasirkoja No. 9
Padangpanjang, Sulawesi Barat 93399",+62 (490) 538 3177,3700652893557412,93399,11,4,"Nusa Tenggara Timur, 23-04-1980",43,Cerai hidup,laki-laki,Palembang,Punya,C0848,-2.9888243:104.7568507,490.38579827631474
Kristina Anderson,"Jl. Jend. Sudirman No. 28
Pontianak, RI 43909",+62 (789) 603 9011,8994287280268827,43909,8,4,"Kalimantan Barat, 18-08-1975",48,Menikah,laki-laki,Palembang,Tidak Punya,C0849,-2.9888243:104.7568507,420.28036904660985
Andrew Warren,"Jl. Jayawijaya No. 994
Parepare, Kalimantan Tengah 43331",+62 (068) 649-8796,4044519572205124,43331,12,6,"Nusa Tenggara Barat, 22-07-1985",38,Belum menikah,perempuan,Mataram,Tidak Punya,C0850,-8.5837726:116.10685,479.0296764718951
Leslie Daniels,"Gg. Cikapayang No. 4
Surabaya, KU 82390",+62 (0422) 465-4916,7503471167946383,82390,7,12,"Kalimantan Utara, 22-08-1984",39,Cerai mati,perempuan,Mataram,Punya,C0851,-8.5837726:116.10685,393.35138367066975
Richard Dickson,"Gg. Gardujati No. 2
Mojokerto, Papua Barat 66613",+62-089-855-7664,6616726262575208,66613,20,20,"Maluku, 13-08-1969",54,Cerai hidup,perempuan,Medan,Punya,C0852,3.5896654:98.6738261,282.9475690444815
Ashley Johnson,"Jl. Yos Sudarso No. 075
Bima, ST 83657",+62-68-049-3507,6172576729617239,83657,11,8,"Lampung, 22-10-1974",49,Belum menikah,perempuan,Depok,Tidak Punya,C0853,-6.40719:106.8158371,408.4502111138718
Daniel Rubio,"Jalan Gedebage Selatan No. 67
Ternate, DI Yogyakarta 18950",+62 (046) 734 9141,4535037341741630,18950,7,13,"Sulawesi Utara, 17-08-1967",56,Cerai hidup,perempuan,Balikpapan,Punya,C0854,-1.2398711:116.8593379,305.8991822313401
Kayla Eaton,"Gang Jakarta No. 2
Pekalongan, JT 28161",+62-20-922-4294,4613116639902420,28161,12,16,"Maluku, 13-10-1992",31,Menikah,perempuan,Medan,Punya,C0855,3.5896654:98.6738261,517.4592834230862
Melissa Floyd,"Jalan Erlangga No. 41
Padangpanjang, KU 47324",+62 (0322) 455-5746,5709318409220443,47324,3,11,"Gorontalo, 12-02-1986",37,Cerai mati,perempuan,Batam,Punya,C0856,1.1030815:104.0383696,206.23860218102345
Bruce Barnes,"Jalan Pasteur No. 266
Probolinggo, BB 29565",+62 (015) 363 6557,6030436458372830,29565,5,5,"Banten, 24-11-1969",54,Belum menikah,perempuan,Pontianak,Tidak Punya,C0857,-0.0226903:109.3447488,429.65739327599294
Katherine Collins,"Jl. Rajawali Barat No. 4
Pekanbaru, MU 76740",+62 (180) 179-3536,4321747485028844,76740,20,3,"Aceh, 21-03-1961",62,Cerai mati,perempuan,Pekanbaru,Punya,C0858,0.5262455:101.4515727,641.4543751844903
Shannon Frost,"Jl. Rajiman No. 116
Blitar, SU 18143",+62 (325) 341 6731,5776659445853983,18143,19,6,"Kepulauan Bangka Belitung, 16-08-1963",60,Belum menikah,laki-laki,Yogyakarta,Punya,C0859,-7.9778383999999996:110.36722565020224,619.6047049706103
Monica Williams,"Jl. Gedebage Selatan No. 4
Batam, GO 87112",+62 (0615) 104 7131,6467133160391284,87112,2,4,"Kalimantan Barat, 10-03-1967",56,Cerai mati,perempuan,Semarang,Punya,C0860,-6.9903988:110.4229104,559.1577018124226
Anthony Bell,"Gang PHH. Mustofa No. 491
Singkawang, Maluku 06928",+62-0881-593-4695,5706057955006069,6928,1,4,"Lampung, 17-08-1993",30,Cerai hidup,laki-laki,Samarinda,Punya,C0861,-0.5017804:117.1393089,418.6078896883992
Robert Frank,"Gg. Cempaka No. 33
Denpasar, Sulawesi Selatan 58354",+62-00-282-4997,1561641776410898,58354,14,11,"Riau, 24-07-1968",55,Cerai mati,laki-laki,Mataram,Punya,C0862,-8.5837726:116.10685,461.6628169561445
Shannon Cook,"Gang Pasteur No. 877
Samarinda, DKI Jakarta 29577",+62-0675-629-9295,9878860000236105,29577,14,7,"Aceh, 11-09-1980",43,Cerai mati,laki-laki,Pekanbaru,Punya,C0863,0.5262455:101.4515727,360.39541479136096
Louis Chang,"Gang Monginsidi No. 4
Madiun, DKI Jakarta 19162",+62 (72) 398 0796,8947422412513906,19162,10,18,"DI Yogyakarta, 08-10-1968",55,Belum menikah,laki-laki,Mataram,Punya,C0864,-8.5837726:116.10685,298.1236894168251
Amanda Stewart,"Jl. Joyoboyo No. 865
Palu, KT 60523",+62 (054) 947-7485,6444544889928059,60523,4,8,"Jambi, 11-04-1961",62,Belum menikah,laki-laki,Semarang,Punya,C0865,-6.9903988:110.4229104,506.49382325200713
Perry Villarreal,"Jalan Dr. Djunjunan No. 0
Depok, SU 24003",+62 (083) 079 3985,4894692281068323,24003,16,2,"Kalimantan Utara, 24-06-1980",43,Belum menikah,perempuan,Samarinda,Punya,C0866,-0.5017804:117.1393089,918.4795342037396
Michelle Davis,"Jl. Wonoayu No. 505
Medan, DKI Jakarta 25490",+62 (64) 589 2357,1267248955493733,25490,6,2,"Jambi, 22-07-1984",39,Cerai hidup,perempuan,Balikpapan,Punya,C0867,-1.2398711:116.8593379,520.5237057768973
Tiffany Carter,"Gang Soekarno Hatta No. 235
Tual, Sulawesi Barat 61950",+62-14-765-8207,9134416743693796,61950,6,8,"Sulawesi Utara, 11-02-1971",52,Belum menikah,laki-laki,Balikpapan,Punya,C0868,-1.2398711:116.8593379,560.8876657874789
Dr. Eric Hayden MD,"Gang Erlangga No. 9
Gorontalo, Sumatera Barat 91233",+62-249-474-5895,8903796793330354,91233,2,4,"Nusa Tenggara Barat, 14-05-1983",40,Menikah,perempuan,Semarang,Punya,C0869,-6.9903988:110.4229104,317.5355837351526
Ryan West,"Gg. Cikutra Timur No. 882
Tangerang, SU 73374",+62-22-167-8663,2594868568559237,73374,3,12,"Papua, 20-08-1975",48,Cerai mati,laki-laki,Bogor,Punya,C0870,-6.5962986:106.7972421,371.30563788942527
Daniel Keith,"Gg. Sukajadi No. 3
Tanjungbalai, Jawa Barat 43992",+62 (47) 208 9097,3289110769129477,43992,16,14,"Papua, 03-05-1987",36,Menikah,laki-laki,Jakarta,Punya,C0871,-6.175247:106.8270488,528.212607823778
Jason Robinson,"Jl. Kutisari Selatan No. 028
Mojokerto, PA 14806",+62 (046) 389 1483,5215122002521087,14806,17,13,"Jambi, 06-02-1979",44,Cerai hidup,laki-laki,Jakarta,Punya,C0872,-6.175247:106.8270488,499.0652029211051
Annette Hill,"Jl. Cikapayang No. 02
Bandung, AC 38705",+62-0140-711-0555,4302441700006033,38705,4,14,"Jawa Barat, 04-04-1984",39,Menikah,perempuan,Pontianak,Punya,C0873,-0.0226903:109.3447488,520.3410699137894
Kristen Barker,"Jl. Jend. A. Yani No. 5
Depok, DKI Jakarta 31619",+62 (81) 585 2728,9432530186307616,31619,1,5,"Maluku Utara, 19-08-1979",44,Cerai mati,laki-laki,Tangerang,Tidak Punya,C0874,-6.1761924:106.6382161,425.38739820412593
Gregory Green,"Gg. HOS. Cokroaminoto No. 6
Sukabumi, PB 10500",+62 (033) 267 4375,7635902419365102,10500,4,16,"DKI Jakarta, 27-08-1984",39,Belum menikah,laki-laki,Balikpapan,Punya,C0875,-1.2398711:116.8593379,557.8049758852576
Kaylee Miller,"Gg. Monginsidi No. 911
Pekanbaru, KB 41891",+62 (76) 742-9379,5793475769998091,41891,11,5,"Gorontalo, 25-02-1971",52,Cerai mati,laki-laki,Semarang,Punya,C0876,-6.9903988:110.4229104,271.2885762630904
Zachary Curtis,"Jl. Erlangga No. 627
Sorong, Sumatera Barat 10197",+62-084-411-8789,7982564517818243,10197,3,8,"Gorontalo, 24-04-1974",49,Cerai mati,perempuan,Medan,Punya,C0877,3.5896654:98.6738261,267.1370303439908
